id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
1072091783,HLam-2020-05-08_08-00.flac,2020 Hay Landfill,2020,5,8,8,0,sp31,Simple Call,58.0747,58.96,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/05/08/5864qgrimmnh/a36cf681-09b5-5408-0e2b-eef159fb4270.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768095520&Signature=fMUxb094E9IMX8kiZM33TXyYFuY%3D,0.203663,6199
1072091784,HLam-2020-05-07_08-00.flac,2020 Hay Landfill,2020,5,7,8,0,sp31,Simple Call,29.7867,30.672,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/05/07/5864qgrimmnh/4dd96998-68c1-c5d8-603e-399823bdcfcd.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768095520&Signature=8gp2lKrqaXCk%2FBp944TV1ogIXSI%3D,0.204517,6199
1072091785,HLam-2020-05-06_08-00.flac,2020 Hay Landfill,2020,5,6,8,0,sp31,Simple Call,32.9387,33.824,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/05/06/5864qgrimmnh/b9bd92c3-05c4-05f9-35d0-d86611fe710c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768095520&Signature=q9i2m4VNwbkJVvdyARpVCVUgRJY%3D,0.246207,6199
1072091786,HLam-2020-05-04_08-00.flac,2020 Hay Landfill,2020,5,4,8,0,sp31,Simple Call,4.49067,5.376,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/05/04/5864qgrimmnh/c08806d7-7d6d-393a-83fc-251810757554.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768095520&Signature=yDazD3O5TVQDOswUCYM5yyB0Puk%3D,0.271525,6199
1072091787,HLam-2020-05-03_08-00.flac,2020 Hay Landfill,2020,5,3,8,0,sp31,Simple Call,48.5227,49.408,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/05/03/5864qgrimmnh/7272b966-9241-ddb9-0925-07c7163af58d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768095520&Signature=Hl0Ist5QrGznd%2F7PtqqnYxvpGUE%3D,0.278047,6199
1072091788,HLam-2020-04-30_08-00.flac,2020 Hay Landfill,2020,4,30,8,0,sp31,Simple Call,51.4133,52.2987,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/04/30/5864qgrimmnh/73778a59-486d-d06b-7134-1eddd44cdae2.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768095520&Signature=G%2B991WdW0M5wijDubWwZeLiGaIE%3D,0.211148,6199
1072091789,HLam-2020-04-23_08-00.flac,2020 Hay Landfill,2020,4,23,8,0,sp31,Simple Call,22.5333,23.4187,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/04/23/5864qgrimmnh/c46a5115-324d-3d13-5308-638f2235c32d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768095520&Signature=Kxt%2Bx0Wkyy2qEcgaQU2SckKfCfg%3D,0.244124,6199
1072091790,HLam-2020-04-22_08-00.flac,2020 Hay Landfill,2020,4,22,8,0,sp31,Simple Call,6.10667,6.992,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/04/22/5864qgrimmnh/376dff0e-4626-5252-03a5-94eb62941412.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768095520&Signature=kj9ItLcQnIBUJsBResDr3rJkCDw%3D,0.200168,6199
1072091791,HLam-2020-04-21_08-00.flac,2020 Hay Landfill,2020,4,21,8,0,sp31,Simple Call,24.4533,25.3387,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/04/21/5864qgrimmnh/56cd3146-698a-99d8-0f61-52812398faf8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768095520&Signature=ryPsFaUDdtYNg6j81qhVWoeLjXw%3D,0.228421,6199
1072091792,HLam-2020-04-18_08-00.flac,2020 Hay Landfill,2020,4,18,8,0,sp31,Simple Call,47.184,48.0693,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2020/04/18/5864qgrimmnh/8e13a50e-d05c-67d1-6e74-f8adcf6f89b8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768095520&Signature=eHRpMtp1vTC3vrfp0dY%2F17vEB7c%3D,0.214376,6199
