id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
988010817,MRam-2023-05-16_17-00.WAV,2023 Markham Ravine B,2023,5,16,17,0,Pseudacris regilla,Common Song,36.352,37.568,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/17/z5e2spffh5ws/4ebeadea-4e00-43b6-9444-9805e2a53326.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265204&Signature=c4kD6VeUAdrV6uanxReIaSIrrxc%3D,0.217925,48436
988010818,MRam-2023-05-16_16-40.WAV,2023 Markham Ravine B,2023,5,16,16,40,Pseudacris regilla,Common Song,58.7627,59.9787,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/16/z5e2spffh5ws/e2d46a48-bb1f-4702-acd3-a12c92979f07.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265204&Signature=tCC8sA%2B2V%2Fhz8Dq8OPrvp1CuyB4%3D,0.245326,48436
988010819,MRam-2023-05-16_12-40.WAV,2023 Markham Ravine B,2023,5,16,12,40,Pseudacris regilla,Common Song,36.1173,37.3333,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/16/z5e2spffh5ws/12c77f04-4363-4213-a3de-23b96479cbbf.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265204&Signature=XtVXod8RLB8CqtlBwbmzj0YHX7Q%3D,0.256946,48436
988010820,MRam-2023-05-16_10-00.WAV,2023 Markham Ravine B,2023,5,16,10,0,Pseudacris regilla,Common Song,25.9733,27.1893,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/16/z5e2spffh5ws/f46e0275-df52-4dd5-80c2-790a750f9c27.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265204&Signature=b3XSq%2BfOb%2F69HMCR0wIzZnA6zH0%3D,0.20472,48436
988010821,MRam-2023-05-16_09-40.WAV,2023 Markham Ravine B,2023,5,16,9,40,Pseudacris regilla,Common Song,50.896,52.112,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/16/z5e2spffh5ws/29c76513-47fa-4821-a51d-8afd75093090.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265204&Signature=xLBgP1tZn7Kl3gArp4frnIlePUg%3D,0.267332,48436
988010822,MRam-2023-05-16_08-00.WAV,2023 Markham Ravine B,2023,5,16,8,0,Pseudacris regilla,Common Song,13.776,14.992,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/16/z5e2spffh5ws/de182a78-c882-4e5b-90ef-36a03423afe5.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265204&Signature=SwwfAUKDKVq9pnPphb%2Fwgjm2TbE%3D,0.2432,48436
988010823,MRam-2023-05-15_20-20.WAV,2023 Markham Ravine B,2023,5,15,20,20,Pseudacris regilla,Common Song,1.35467,2.57067,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/16/z5e2spffh5ws/b415ea18-2776-424e-901b-0dc286e3cef1.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265204&Signature=w3Sivf6Dj%2FyRTwoHnMEEcYnBAcM%3D,0.26248,48436
988010824,MRam-2023-05-15_19-00.WAV,2023 Markham Ravine B,2023,5,15,19,0,Pseudacris regilla,Common Song,13.0347,14.2507,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/16/z5e2spffh5ws/44aaabc3-824c-4766-a228-2d8aacadca48.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265204&Signature=GVlzNgXhLEgFmDi%2FiGpV09JeHOw%3D,0.253113,48436
988010825,MRam-2023-05-15_19-20.WAV,2023 Markham Ravine B,2023,5,15,19,20,Pseudacris regilla,Common Song,45.3707,46.5867,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/16/z5e2spffh5ws/3e74fef2-5761-424e-a24c-17c357871a2b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265204&Signature=xGtDOL%2FKOVM%2Fu9tS8TYlv%2FveFVo%3D,0.257036,48436
988010826,MRam-2023-05-15_17-40.WAV,2023 Markham Ravine B,2023,5,15,17,40,Pseudacris regilla,Common Song,7.62667,8.84267,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/16/z5e2spffh5ws/7b8366b4-309b-4d03-af9a-b470dc925713.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265204&Signature=nUvuccdrMOajMcCVGki9KTKW9ug%3D,0.249432,48436
988010827,MRam-2023-05-15_13-00.WAV,2023 Markham Ravine B,2023,5,15,13,0,Pseudacris regilla,Common Song,13.888,15.104,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/15/z5e2spffh5ws/cafbbfd8-e9bc-437f-b255-6cae6b522390.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265204&Signature=4wSdpDA7zgt1RtFA1tiSSQZreI0%3D,0.203027,48436
988010828,MRam-2023-05-18_16-40.WAV,2023 Markham Ravine B,2023,5,18,16,40,Pseudacris regilla,Common Song,12.9707,14.1867,1406,3281,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/18/z5e2spffh5ws/70990ecf-525d-4826-9ea7-12cd85efca88.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740265204&Signature=XyiZNJQt0atDAvGXmxeZpiz8rqY%3D,0.200847,48436
