id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
1081593159,sjwa1-2018-04-07_06-00.wav,2018 SJWA WSS,2018,4,7,7,0,Agelaius tricolor,Simple Call 2,30.7897,31.1844,345,21619,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/07/x81b8reelef6/2a76da27-ceca-4aa1-8ab8-44c75bede7b2.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768606166&Signature=HZ39KwC4VTOOmUfKA5QkWQsjzAg%3D,0.38791,82621
1081593160,sjwa1-2018-04-07_05-20.wav,2018 SJWA WSS,2018,4,7,6,20,Agelaius tricolor,Simple Call 2,19.29,19.6847,345,21619,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/07/x81b8reelef6/72eb4f8f-be06-4221-af3f-fbd648d4e9ec.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768606166&Signature=LzJAVp9OMK8WVTJ2OE9VwZ3QyYQ%3D,0.285248,82621
1081593161,sjwa1-2018-04-16_08-00.wav,2018 SJWA WSS,2018,4,16,9,0,Agelaius tricolor,Simple Call 2,50.8749,51.2697,345,21619,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/16/x81b8reelef6/944a02e8-01f0-4ea7-af4d-f0b8c4a5f26e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768606166&Signature=rJqLwX95WHdHAzTeO4iugWt7pXQ%3D,0.432999,82621
1081593162,sjwa1-2018-04-07_08-20.wav,2018 SJWA WSS,2018,4,7,9,20,Agelaius tricolor,Simple Call 2,22.0648,22.4595,345,21619,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/07/x81b8reelef6/6fee7f35-9641-4384-a998-10b423f22d83.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768606166&Signature=JY8UYwIEzGn88AJ8iQlY77PbGq8%3D,0.42861,82621
1081597078,sjwa1-2018-04-27_01-20.wav,2018 SJWA WSS,2018,4,27,2,20,Agelaius tricolor,Simple Call 2,19.2726,19.6673,345,21619,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/27/x81b8reelef6/8ac4016d-cbbe-4c1b-b022-c8212e7b3e58.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768606166&Signature=OOStNsH%2BGKiWVoOCuT5dGtKtE3s%3D,0.22489,82621
1081597079,sjwa1-2018-04-26_14-40.wav,2018 SJWA WSS,2018,4,26,15,40,Agelaius tricolor,Simple Call 2,11.6274,12.0221,345,21619,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/26/x81b8reelef6/56b49571-5ebf-48ef-9d9d-c7865c2e78c0.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768606166&Signature=vOTkGjt2VFUAG%2FCVSnNSKXuALAs%3D,0.236291,82621
1081597080,sjwa1-2018-04-26_16-00.wav,2018 SJWA WSS,2018,4,26,17,0,Agelaius tricolor,Simple Call 2,34.0637,34.4584,345,21619,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/27/x81b8reelef6/780affa5-e481-4fb5-b5fd-1e3735b45c47.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768606166&Signature=vvOLdyVySWm1WWwsXwfQCANyVm0%3D,0.342064,82621
1081597081,sjwa1-2018-04-26_18-40.wav,2018 SJWA WSS,2018,4,26,19,40,Agelaius tricolor,Simple Call 2,46.7766,47.1713,345,21619,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/27/x81b8reelef6/2ec07876-04cd-4714-82f1-34c63ccb7a81.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768606166&Signature=h%2F3BaC%2FucCpwkfrXyGXC%2ByPBQ%2Bc%3D,0.225515,82621
1081597082,sjwa1-2018-04-27_00-40.wav,2018 SJWA WSS,2018,4,27,1,40,Agelaius tricolor,Simple Call 2,55.7569,56.1517,345,21619,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/27/x81b8reelef6/f80d2762-b600-4b3f-aceb-1e34928becaf.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768606166&Signature=jG84rFIpq2h%2FhYhhgHgVbfTJRG8%3D,0.22459,82621
1081597083,sjwa1-2018-04-27_03-20.wav,2018 SJWA WSS,2018,4,27,4,20,Agelaius tricolor,Simple Call 2,38.4406,38.8354,345,21619,22050,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2018/04/27/x81b8reelef6/321e3130-62f9-4dd9-9c30-6614ba76102e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1768606166&Signature=oBny948%2BQui3tpHzpxRz4K%2FOcIc%3D,0.234385,82621
