id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
300487909,RCR1am-2022-07-11_11-40.WAV,2022 Baja 1,2022,7,11,11,40,Agelaius tricolor,Common Song,32.8,35.333333333333336,1218.75,3750,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/07/11/r9c4znvd3eqe/a73efeff-ccb8-4616-bda0-c69f577a4d4f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1719834948&Signature=URAZdLNk3VX7FWjuMIuU1x0Jfks%3D,0.30771682676218237,34485
300487910,RCR1am-2022-07-11_14-00.WAV,2022 Baja 1,2022,7,11,14,0,Agelaius tricolor,Common Song,22.368,24.901333333333334,1218.75,3750,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/07/11/r9c4znvd3eqe/960b6b09-27e1-449c-b86b-ea1186606dc0.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1719834948&Signature=PlEaiHbIP9JMJdj7nIsDmf6xJfs%3D,0.25131575660293737,34485
300487911,RCR1am-2022-06-29_13-20.WAV,2022 Baja 1,2022,6,29,13,20,Agelaius tricolor,Common Song,44.99733333333333,47.53066666666667,1218.75,3750,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/29/r9c4znvd3eqe/0f4c94ea-84b9-440b-a447-141438204e08.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1719834948&Signature=vXzKAyiQN35Ik0SGu7pRokYWTHI%3D,0.28249564319314907,34485
300487983,RCR1am-2022-07-02_11-00.WAV,2022 Baja 1,2022,7,2,11,0,Agelaius tricolor,Common Song,29.072,31.605333333333334,1218.75,3750,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/07/02/r9c4znvd3eqe/cb2a5b50-6130-4135-ae24-750a97c489c3.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1719834948&Signature=JFKSGIkBXVA5I98f9Zu0T1TLluc%3D,0.2289446819163325,34485
300487984,RCR1am-2022-07-03_15-40.WAV,2022 Baja 1,2022,7,3,15,40,Agelaius tricolor,Common Song,3.5733333333333333,6.1066666666666665,1218.75,3750,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/07/03/r9c4znvd3eqe/99ff793d-ff66-4e49-bc71-003f4c59460a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1719834948&Signature=nba5cnJ%2F9X3v6m15DcHM%2Bn7bMDg%3D,0.4066334696796743,34485
300487985,RCR1am-2022-07-03_12-00.WAV,2022 Baja 1,2022,7,3,12,0,Agelaius tricolor,Common Song,18.144,20.677333333333333,1218.75,3750,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/07/03/r9c4znvd3eqe/40fd9e8d-f2aa-4209-9384-f026a11f64ee.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1719834948&Signature=dAG4%2BMlokJuxZ9OPPzK40feyN7U%3D,0.26059501160281756,34485
300487986,RCR1am-2022-07-03_13-40.WAV,2022 Baja 1,2022,7,3,13,40,Agelaius tricolor,Common Song,26.053333333333335,28.586666666666666,1218.75,3750,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/07/03/r9c4znvd3eqe/a9b07bb2-d028-4f63-b95e-05dcea3f7397.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1719834948&Signature=7kC%2B0AMrE7A520%2FiclE7X8SubEs%3D,0.35879080146869974,34485
300487987,RCR1am-2022-07-02_21-00.WAV,2022 Baja 1,2022,7,2,21,0,Agelaius tricolor,Common Song,57.21066666666667,59.744,1218.75,3750,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/07/03/r9c4znvd3eqe/2dc842a0-eb50-4faa-b267-43d8baedaa97.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1719834948&Signature=KGDrZXZFvIfM7Y9bKUTRvZDpznI%3D,0.2250281014782614,34485
300487988,RCR1am-2022-06-27_09-00.WAV,2022 Baja 1,2022,6,27,9,0,Agelaius tricolor,Common Song,33.232,35.76533333333333,1218.75,3750,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/27/r9c4znvd3eqe/e91fe221-562b-46b1-bf5d-6d3536ec2b10.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1719834948&Signature=GGv3GgWjrbCPumjohM7PwnmWWAY%3D,0.2685153524901268,34485
300487989,RCR1am-2022-07-02_14-20.WAV,2022 Baja 1,2022,7,2,14,20,Agelaius tricolor,Common Song,48.026666666666664,50.56,1218.75,3750,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/07/02/r9c4znvd3eqe/5feb4da3-49b0-4f8c-b6e3-4790603984eb.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1719834948&Signature=fdmak%2Fznb0KZUKe9%2BFprqPuoE0o%3D,0.2824995331215587,34485
