id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
803674425,WA.HSam-2023-07-30_13-00.WAV,2023 WA Harder Spring,2023,7,30,14,0,Agelaius tricolor,Common Song,30.8693,32.0053,750,2250,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/30/v6jt7w930vzf/e685291a-3c6e-4bce-893a-097ad7c0ce75.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766134483&Signature=oNVrk0g7HHaU4zdDuOk5RQFPm%2Fk%3D,0.205975,48398
803674426,WA.HSam-2023-07-29_08-40.WAV,2023 WA Harder Spring,2023,7,29,9,40,Agelaius tricolor,Common Song,26.5173,27.6533,750,2250,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/29/v6jt7w930vzf/24771e00-66d8-4e6f-906e-c92c8379f463.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766134483&Signature=O6iDVJ%2FMOSqMBC82yuHVruqQcno%3D,0.203073,48398
803674427,WA.HSam-2023-07-30_12-00.WAV,2023 WA Harder Spring,2023,7,30,13,0,Agelaius tricolor,Common Song,27.44,28.576,750,2250,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/30/v6jt7w930vzf/c940f337-8656-4bfd-8f06-2466cc2a7dc0.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766134483&Signature=Pm%2FEvcdqUAFNfP53U0bT5In9wfw%3D,0.27431,48398
803674428,WA.HSam-2023-07-29_06-20.WAV,2023 WA Harder Spring,2023,7,29,7,20,Agelaius tricolor,Common Song,8.63467,9.77067,750,2250,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/29/v6jt7w930vzf/0c05082d-54a9-44ee-a5ab-0be25f039fd3.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766134483&Signature=sP%2FaarRuaTBcAHfeigoJqT7arc4%3D,0.265144,48398
803674429,WA.HSam-2023-07-29_16-40.WAV,2023 WA Harder Spring,2023,7,29,17,40,Agelaius tricolor,Common Song,58.016,59.152,750,2250,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/30/v6jt7w930vzf/d5852852-ecd2-4278-8ab0-7ba610aac1cd.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766134483&Signature=LRP%2Fu6%2FUaKjqTNXV1wjNhaX3UoY%3D,0.247604,48398
803674430,WA.HSam-2023-07-29_19-20.WAV,2023 WA Harder Spring,2023,7,29,20,20,Agelaius tricolor,Common Song,58.5547,59.6907,750,2250,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/30/v6jt7w930vzf/71260a73-7ee0-4e02-b12c-6a9b8569f08d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766134483&Signature=9iNjjUKuudlwVhRP0Hutt%2Bj%2FJz8%3D,0.203758,48398
803674431,WA.HSam-2023-07-29_11-40.WAV,2023 WA Harder Spring,2023,7,29,12,40,Agelaius tricolor,Common Song,7.17867,8.31467,750,2250,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/29/v6jt7w930vzf/19482830-72ba-41f0-b45c-ae510db9b416.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766134483&Signature=ywYgEdgLeuNuQhPU8Pqkel%2Fafx4%3D,0.205794,48398
803674432,WA.HSam-2023-07-28_17-20.WAV,2023 WA Harder Spring,2023,7,28,18,20,Agelaius tricolor,Common Song,56.8213,57.9573,750,2250,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/29/v6jt7w930vzf/a89db07c-d2b5-426a-9b8d-d5950d43995e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766134483&Signature=gvuxnnMae97YI6euL8ktCXNajdw%3D,0.319039,48398
803674433,WA.HSam-2023-07-29_07-20.WAV,2023 WA Harder Spring,2023,7,29,8,20,Agelaius tricolor,Common Song,31.7387,32.8747,750,2250,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/29/v6jt7w930vzf/076363ef-1542-4fc2-a003-7a0eb492cc25.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766134483&Signature=Htm3ZPRKwUdDn60Bm7oRVCMtJvk%3D,0.236242,48398
803674434,WA.HSam-2023-07-29_10-00.WAV,2023 WA Harder Spring,2023,7,29,11,0,Agelaius tricolor,Common Song,29.3013,30.4373,750,2250,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/07/29/v6jt7w930vzf/a38e4325-ae28-4060-a924-5dde962c66a9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766134483&Signature=q6xHTrek2N2zXlextFeO9WTYZe4%3D,0.223482,48398
