id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
986593548,FRam-2023-05-13_19-40.WAV,2023 Virginia at Ostrom,2023,5,13,19,40,sp31,Simple Call,51.0347,51.92,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/14/lxharmr7uhwg/66faabfe-9cec-4600-abc0-e99563d0d95d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734400016&Signature=DCefaHQcI8AAmNZ9xWt8BkNMdEA%3D,0.234411,48456
986593549,FRam-2023-05-13_19-00.WAV,2023 Virginia at Ostrom,2023,5,13,19,0,sp31,Simple Call,0.101333,0.986667,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/14/lxharmr7uhwg/b875ef5a-5751-4b46-9b41-e429a94bcf06.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734400016&Signature=3DPvpDKD6VBSQKJVyyQekIel260%3D,0.221189,48456
986593550,FRam-2023-05-13_18-40.WAV,2023 Virginia at Ostrom,2023,5,13,18,40,sp31,Simple Call,4.13867,5.024,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/14/lxharmr7uhwg/611ed787-c57e-45da-9083-2fd269d6ad1e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734400016&Signature=Re2u25byL0125GS8q6OkSyQ5JA8%3D,0.251433,48456
986593551,FRam-2023-05-13_17-40.WAV,2023 Virginia at Ostrom,2023,5,13,17,40,sp31,Simple Call,26.0533,26.9387,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/14/lxharmr7uhwg/7de75f71-a4e1-4210-85b2-0a9477aa3e51.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734400016&Signature=fPm25%2FknihRbe5DYXThqN02U1QE%3D,0.206086,48456
986593552,FRam-2023-05-13_14-20.WAV,2023 Virginia at Ostrom,2023,5,13,14,20,sp31,Simple Call,55.136,56.0213,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/13/lxharmr7uhwg/fd0c1b61-9d26-4155-871e-9907895ba8bc.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734400016&Signature=18v7myBzsbNYoPUHbFh3ytenxbc%3D,0.216577,48456
986593553,FRam-2023-05-13_13-20.WAV,2023 Virginia at Ostrom,2023,5,13,13,20,sp31,Simple Call,25.552,26.4373,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/13/lxharmr7uhwg/c79ba3b1-9351-4307-8ac6-eb76a3f43f78.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734400016&Signature=TPwc9YwhdBnyEz%2BC5hIjGqTdR6U%3D,0.241721,48456
986593554,FRam-2023-05-13_12-20.WAV,2023 Virginia at Ostrom,2023,5,13,12,20,sp31,Simple Call,12.528,13.4133,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/13/lxharmr7uhwg/f78550dc-c218-4853-87a5-5a53f5720164.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734400016&Signature=gAAycXo44SfODwv9%2BM%2FimHI7XeI%3D,0.21852,48456
986593555,FRam-2023-05-13_12-00.WAV,2023 Virginia at Ostrom,2023,5,13,12,0,sp31,Simple Call,42.88,43.7653,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/13/lxharmr7uhwg/73f7a889-af34-4253-a1e8-d76c8e44efee.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734400016&Signature=YK1M6ZWxjYWweVEptJYTTCrLErQ%3D,0.223727,48456
986593556,FRam-2023-05-13_10-00.WAV,2023 Virginia at Ostrom,2023,5,13,10,0,sp31,Simple Call,15.68,16.5653,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/13/lxharmr7uhwg/9d997769-c2fa-4772-91a4-a2481e7ed357.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734400016&Signature=X%2Fgz%2FB3AVC20EXR%2F0XN7ap%2BkZvM%3D,0.235204,48456
986593557,FRam-2023-05-13_09-20.WAV,2023 Virginia at Ostrom,2023,5,13,9,20,sp31,Simple Call,18.4853,19.3707,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/13/lxharmr7uhwg/28e33cbf-49d4-4bf9-bd9f-a0f782cbd583.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1734400016&Signature=LiiH7kyooBvA8qz25YrPsyqrsVk%3D,0.222414,48456
