id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
722525079,LTam-2019-07-06_00-20.flac,2019 Leisure Town,2019,7,6,0,20,Agelaius tricolor,Common Song,17.472,19.6853,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/07/05/uddjq5imsodv/c5fbdcd0-1658-5cec-1a7d-f77be6ea3a74.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733272359&Signature=QEyu%2FzhLh2cU5J78nb7EW2eF1vw%3D,0.382792,4639
722525080,LTam-2019-07-06_00-40.flac,2019 Leisure Town,2019,7,6,0,40,Agelaius tricolor,Common Song,16.1227,18.336,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/07/05/uddjq5imsodv/e2570203-2e2a-8308-e2fe-1f03fff67ec2.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733272359&Signature=1MSrL8FVMT%2BeTm6n7%2FnAAO9SWUo%3D,0.279812,4639
722525081,LTam-2019-07-06_01-20.flac,2019 Leisure Town,2019,7,6,1,20,Agelaius tricolor,Common Song,34.9493,37.1627,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/07/05/uddjq5imsodv/f2b2803e-ea26-0811-c922-9be90c4b6a80.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733272359&Signature=5zVGNqxQPBFuTzoRnRIhHMKe%2BIo%3D,0.417168,4639
722525082,LTam-2019-07-06_01-40.flac,2019 Leisure Town,2019,7,6,1,40,Agelaius tricolor,Common Song,49.9147,52.128,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/07/05/uddjq5imsodv/5567976a-06eb-018f-28cf-1455e1bd7f85.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733272359&Signature=FAH4sgo5FbmwJto7LEGqskjSDqk%3D,0.27668,4639
722525083,LTam-2019-07-06_02-20.flac,2019 Leisure Town,2019,7,6,2,20,Agelaius tricolor,Common Song,56.8747,59.088,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/07/05/uddjq5imsodv/a990443f-d7b3-48d1-5389-b24fc0d38aa7.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733272359&Signature=nbWLWMFUnb3e2KvVrQXTG2Mpfig%3D,0.26208,4639
722525084,LTam-2019-07-06_02-40.flac,2019 Leisure Town,2019,7,6,2,40,Agelaius tricolor,Common Song,31.8987,34.112,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/07/05/uddjq5imsodv/ffd1d926-d317-bb0b-1ea8-6221744d2432.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733272359&Signature=TwmMGafXLaEuDorcyfCYCD1qLLQ%3D,0.268801,4639
722525085,LTam-2019-07-06_03-20.flac,2019 Leisure Town,2019,7,6,3,20,Agelaius tricolor,Common Song,21.488,23.7013,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/07/05/uddjq5imsodv/dec5933a-486b-ab76-98cd-e41edcfe7b98.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733272359&Signature=DrvvKqV0xXlCcSuFmWP5S%2F1t1h4%3D,0.336664,4639
722525086,LTam-2019-07-06_03-40.flac,2019 Leisure Town,2019,7,6,3,40,Agelaius tricolor,Common Song,54.7627,56.976,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/07/05/uddjq5imsodv/51e52a21-d48c-b0be-2951-3cab44fa0b55.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733272359&Signature=oWK7JWTEtyiWWlrp%2FMQSZfbwLHs%3D,0.236611,4639
722525087,LTam-2019-07-06_04-20.flac,2019 Leisure Town,2019,7,6,4,20,Agelaius tricolor,Common Song,56.576,58.7893,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/07/05/uddjq5imsodv/f9e1d9e8-f609-a7d2-382e-752727f234a3.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733272359&Signature=t6fQpzaV4xLyrYShzRP1Xk41jh8%3D,0.282316,4639
722525088,LTam-2019-07-06_04-40.flac,2019 Leisure Town,2019,7,6,4,40,Agelaius tricolor,Common Song,31.9413,34.1547,844,3375,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2019/07/05/uddjq5imsodv/a1d93ecd-623c-d683-ae30-cd2e2e2bb0cc.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733272359&Signature=UFr7fMivUeRwGXZt6MA3X3x68U4%3D,0.373396,4639
