id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
679100309,DNWRT43.2am-2023-06-25_13-40.WAV,2023 Delevan NWR T43.2,2023,6,25,14,40,Agelaius tricolor,Simple Call 2,23.8933,24.288,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/25/m2946u45k2d3/ccf83086-0d13-4487-8712-4d8e384016c6.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741870811&Signature=pD8k%2F8qexycKPoeTq1UJ3wbof%2Bg%3D,0.51188,48877
679100310,DNWRT43.2am-2023-06-25_14-20.WAV,2023 Delevan NWR T43.2,2023,6,25,15,20,Agelaius tricolor,Simple Call 2,35.008,35.4027,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/25/m2946u45k2d3/28d77191-4f27-487d-8bad-bb8b64015270.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741870811&Signature=hN9Sl4dcdpJU3BzwB5%2BkOouRnQ4%3D,0.452898,48877
679100406,DNWRT43.2am-2023-08-13_17-40.WAV,2023 Delevan NWR T43.2,2023,8,13,18,40,Agelaius tricolor,Simple Call 2,31.8773,32.272,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/08/14/m2946u45k2d3/599d6327-a91d-4bc8-bc48-8ae9dba06d4f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741870811&Signature=Eodu3kQnintL5MBgIBPHHO6UlL0%3D,0.409046,48877
679100407,DNWRT43.2am-2023-08-08_18-20.WAV,2023 Delevan NWR T43.2,2023,8,8,19,20,Agelaius tricolor,Simple Call 2,39.6693,40.064,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/08/09/m2946u45k2d3/f969329d-a731-443b-8ffd-ac9665e4a177.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741870811&Signature=jves3vRGSZUozJn1LbqveVz7LuA%3D,0.502239,48877
679100408,DNWRT43.2am-2023-08-11_07-40.WAV,2023 Delevan NWR T43.2,2023,8,11,8,40,Agelaius tricolor,Simple Call 2,14.9813,15.376,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/08/11/m2946u45k2d3/8a7213d9-8d44-4bee-b720-28783bd05bdb.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741870811&Signature=FsjrC7zxuMuNfK99jDwYuXICbFk%3D,0.532561,48877
679100409,DNWRT43.2am-2023-08-07_17-20.WAV,2023 Delevan NWR T43.2,2023,8,7,18,20,Agelaius tricolor,Simple Call 2,42.096,42.4907,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/08/08/m2946u45k2d3/e3c2e6d5-90d7-4b00-953f-6ff77b998fad.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741870811&Signature=Q2E3e9DRE0s1KeHBcQtmw6v07ek%3D,0.507005,48877
679100410,DNWRT43.2am-2023-08-07_10-40.WAV,2023 Delevan NWR T43.2,2023,8,7,11,40,Agelaius tricolor,Simple Call 2,28.0533,28.448,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/08/07/m2946u45k2d3/6d64e54f-8be8-418e-8c66-07f5672cb883.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741870811&Signature=1ZlFaV8L7x7SZ6e2naaNiGxCo7o%3D,0.427014,48877
679100411,DNWRT43.2am-2023-08-07_09-20.WAV,2023 Delevan NWR T43.2,2023,8,7,10,20,Agelaius tricolor,Simple Call 2,1.17867,1.57333,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/08/07/m2946u45k2d3/3cebf93d-ede9-42f3-af6a-c0981654087d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741870811&Signature=C%2FVbksAd6KxnQcmDOyfeleCHFr4%3D,0.460701,48877
679100412,DNWRT43.2am-2023-08-09_07-00.WAV,2023 Delevan NWR T43.2,2023,8,9,8,0,Agelaius tricolor,Simple Call 2,20.0267,20.4213,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/08/09/m2946u45k2d3/8ca17fb9-1591-4afe-abc7-63f06a32a6df.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741870811&Signature=mAVxKUqVQYpfxmmq9RS46cRjWfQ%3D,0.441288,48877
679100413,DNWRT43.2am-2023-08-06_12-00.WAV,2023 Delevan NWR T43.2,2023,8,6,13,0,Agelaius tricolor,Simple Call 2,57.696,58.0907,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/08/06/m2946u45k2d3/02bb2778-6cd3-4c71-acdd-b59eff4b61f3.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741870811&Signature=aV4o9wgc7cIJM0Qx9Er7tR79zAw%3D,0.530833,48877
