id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
987873440,CR.Nam-2023-06-08_12-20.WAV,2023 Conaway Ranch North 1,2023,6,8,12,20,sp32,Simple Call,19.264,20.1013,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/08/jze8tiy9iurn/71303ae8-af58-4a78-9a7d-a1de1a9707c9.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740263907&Signature=eeEx5U7fhsohRyVQ0Fh5zvnYKNU%3D,0.236886,48477
987873441,CR.Nam-2023-06-25_10-00.WAV,2023 Conaway Ranch North 1,2023,6,25,10,0,sp32,Simple Call,56.1387,56.976,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/25/jze8tiy9iurn/52242e5e-171b-4757-bf96-04792c30e1b5.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740263907&Signature=knFwFzzQWOTPQ6nwWBCYtadzbwg%3D,0.214104,48477
987873442,CR.Nam-2023-06-08_13-00.WAV,2023 Conaway Ranch North 1,2023,6,8,13,0,sp32,Simple Call,42.608,43.4453,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/08/jze8tiy9iurn/aeddb030-11f3-4171-9ca9-301cf0deed97.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740263907&Signature=9CAEv3%2FetmlRMAGxDrKJGGMBfo4%3D,0.22301,48477
987873443,CR.Nam-2023-06-08_11-13.WAV,2023 Conaway Ranch North 1,2023,6,8,11,13,sp32,Simple Call,31.3227,32.16,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/08/jze8tiy9iurn/f127f16f-04d8-48f0-b0e3-be52adde40ed.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740263907&Signature=Us2sTsIBoDplz3sg0ZePI85%2Fsk8%3D,0.267992,48477
987873444,CR.Nam-2023-06-26_06-00.WAV,2023 Conaway Ranch North 1,2023,6,26,6,0,sp32,Simple Call,38.2187,39.056,2906,6188,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/26/jze8tiy9iurn/5b47248d-f8b2-44c1-845a-ed8cc2a97d4a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740263907&Signature=9j4H0fbSNaBkCp0pKTmojRCscBs%3D,0.220482,48477
987873445,CR.Nam-2023-06-26_13-40.WAV,2023 Conaway Ranch North 1,2023,6,26,13,40,sp32,Simple Call,11.4453,12.2827,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/26/jze8tiy9iurn/4af2b18b-474c-4046-925d-2891e020af08.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740263907&Signature=7xrwfaULKxZps8sN6bP55%2FRa8E4%3D,0.227602,48477
987873446,CR.Nam-2023-06-26_14-20.WAV,2023 Conaway Ranch North 1,2023,6,26,14,20,sp32,Simple Call,23.6907,24.528,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/26/jze8tiy9iurn/ae4a0828-60e1-4a5f-a07a-f4356d938449.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740263907&Signature=GfI2ADdyTg5E%2FpJ%2Fc3QSPrtJnfU%3D,0.257712,48477
987873447,CR.Nam-2023-06-29_05-40.WAV,2023 Conaway Ranch North 1,2023,6,29,5,40,sp32,Simple Call,6.89067,7.728,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/29/jze8tiy9iurn/d9e55e4d-734a-4987-b244-f231e5b9cdea.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740263907&Signature=TvK3aGM0i9VIY4vWIV3P%2FEryjxA%3D,0.221783,48477
987873448,CR.Nam-2023-06-30_03-20.WAV,2023 Conaway Ranch North 1,2023,6,30,3,20,sp32,Simple Call,8.07467,8.912,2906,6188,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/30/jze8tiy9iurn/fabf4298-e9b7-4ec4-955f-8fcba766092f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740263907&Signature=8WmIbIT2LXsOlc1C1GGWuMX1wDs%3D,0.23917,48477
987876212,CR.Nam-2023-06-19_07-00.WAV,2023 Conaway Ranch North 1,2023,6,19,7,0,sp32,Simple Call,47.4027,48.24,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/19/jze8tiy9iurn/67870c99-7c0d-45f4-9879-7b4995b4ebf8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740263907&Signature=0r642f6SKLet3AnzNlJXShDF4yQ%3D,0.250815,48477
987876213,CR.Nam-2023-06-17_21-20.WAV,2023 Conaway Ranch North 1,2023,6,17,21,20,sp32,Simple Call,46.4213,47.2587,2906,6188,24000,present,https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/18/jze8tiy9iurn/58382494-5063-4b62-835d-214cb144baf8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740263907&Signature=pOkeUKXkf6OJMCmWGmeYK28bNyc%3D,0.235358,48477
987876214,CR.Nam-2023-06-17_19-40.WAV,2023 Conaway Ranch North 1,2023,6,17,19,40,sp32,Simple Call,44.56,45.3973,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/18/jze8tiy9iurn/2ecd543b-425a-40fc-8b87-004670778230.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740263907&Signature=a7nuiiZVoa6CQOIYha4oaLCW0QU%3D,0.210236,48477
987876215,CR.Nam-2023-06-17_19-20.WAV,2023 Conaway Ranch North 1,2023,6,17,19,20,sp32,Simple Call,6.912,7.74933,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/18/jze8tiy9iurn/575d0153-7a61-426d-8fae-a9111b6f7e76.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1740263907&Signature=iJti%2BKp5e823biT2%2BZVVbiseEW4%3D,0.2499,48477
