id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
1078306100,WWP-Tam-2024-08-06_10-40.WAV,2024 Wind Wolves Preserve - Tevis fix lat lon,2024,8,6,10,40,sp32,Simple Call,55.4987,56.336,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/08/06/bmlefamcw8ih/c20be48c-4b27-4bd5-be0b-c91d573744b3.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766147000&Signature=fjXDVduKwoFXjJnz6Tfx5XPV71E%3D,0.269519,65480
1078306565,WWP-Tam-2024-07-10_15-20.WAV,2024 Wind Wolves Preserve - Tevis fix lat lon,2024,7,10,15,20,sp32,Simple Call,56.7573,57.5947,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/07/10/bmlefamcw8ih/b82ae303-e827-4044-a6f4-0c690619e51c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766147000&Signature=MpTI%2BXsCJ%2FpiRfDE2QhuPwVPJ1k%3D,0.219813,65480
1078306599,WWP-Tam-2024-09-14_15-40.WAV,2024 Wind Wolves Preserve - Tevis fix lat lon,2024,9,14,15,40,sp32,Simple Call,46.7893,47.6267,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/09/14/bmlefamcw8ih/0c6db45d-1f5f-4437-851f-3257f80cabde.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766147000&Signature=3vd8RwPq0bF6ehnYIcn6qc2KgNk%3D,0.224439,65480
1078306600,WWP-Tam-2024-09-14_14-00.WAV,2024 Wind Wolves Preserve - Tevis fix lat lon,2024,9,14,14,0,sp32,Simple Call,4.72,5.55733,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/09/14/bmlefamcw8ih/6af797f7-81bc-4440-92a1-85104d269d6a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766147000&Signature=iRilMNc4R6rPcHHmNzIQ%2FDHL1WA%3D,0.25429,65480
1078306714,WWP-Tam-2024-05-21_18-00.WAV,2024 Wind Wolves Preserve - Tevis fix lat lon,2024,5,21,18,0,sp32,Simple Call,50.352,51.1893,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/22/bmlefamcw8ih/8e11cf6c-d875-4a6a-86f9-5ba3f5a67219.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766147000&Signature=Ca2%2BPEypUvBc%2FGXCMeDScPUZSPQ%3D,0.206855,65480
1078306715,WWP-Tam-2024-05-22_06-20.WAV,2024 Wind Wolves Preserve - Tevis fix lat lon,2024,5,22,6,20,sp32,Simple Call,41.44,42.2773,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/22/bmlefamcw8ih/a8023980-89ed-446b-a055-041da7fca002.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766147000&Signature=oDM%2F8dbe2bMHuIYtl9pEw0pQiJ4%3D,0.208455,65480
1078306716,WWP-Tam-2024-05-24_15-00.WAV,2024 Wind Wolves Preserve - Tevis fix lat lon,2024,5,24,15,0,sp32,Simple Call,2.98133,3.81867,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/24/bmlefamcw8ih/692a7ef0-ad24-4fba-b721-5aeb55c0aa0c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766147000&Signature=TXk6JuHsC9pfzBEGyA%2B5tvc0zS0%3D,0.207994,65480
1078306717,WWP-Tam-2024-05-27_14-20.WAV,2024 Wind Wolves Preserve - Tevis fix lat lon,2024,5,27,14,20,sp32,Simple Call,57.7333,58.5707,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/27/bmlefamcw8ih/1f58f105-ca55-4005-9146-22197109081e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766147000&Signature=ZYrlR6VI9NI8aRhV7OVkLMq6MP8%3D,0.207909,65480
1078306718,WWP-Tam-2024-05-20_18-40.WAV,2024 Wind Wolves Preserve - Tevis fix lat lon,2024,5,20,18,40,sp32,Simple Call,10.0427,10.88,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/21/bmlefamcw8ih/d60860b4-b685-4a3b-9caf-441283bc64b4.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766147000&Signature=rb%2FCMmJ6GR6QrTzYCbGfoUVgnl0%3D,0.200817,65480
1078306719,WWP-Tam-2024-05-25_12-00.WAV,2024 Wind Wolves Preserve - Tevis fix lat lon,2024,5,25,12,0,sp32,Simple Call,17.3227,18.16,2906,6188,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2024/05/25/bmlefamcw8ih/3724fa82-9585-4558-af96-869426e8a6a1.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1766147000&Signature=D0MDtVEZaBFrZyWMRuzGiil96JA%3D,0.234299,65480
