id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
698320334,LFC.Eam-2023-04-27_07-00.WAV,2023 Laguna Fry Confluence - 45 Sump,2023,4,27,8,0,sp11,Simple Call,49.4187,50.1653,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/27/dtu1murbispj/71d02500-2dbb-4eae-81b9-49a61158245d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764486432&Signature=HlPPNxuws9J%2BeZKTl94iILl7xHo%3D,0.232231,48459
698320335,LFC.Eam-2023-04-26_15-20.WAV,2023 Laguna Fry Confluence - 45 Sump,2023,4,26,16,20,sp11,Simple Call,28.0533,28.8,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/26/dtu1murbispj/5a9e69e4-c293-4008-8750-dc59da484921.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764486432&Signature=rvXTzeGeEz0Hlh0zTEYEuQMAcdk%3D,0.207813,48459
698320336,LFC.Eam-2023-04-25_13-40.WAV,2023 Laguna Fry Confluence - 45 Sump,2023,4,25,14,40,sp11,Simple Call,22.224,22.9707,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/25/dtu1murbispj/266fa695-e98d-41ea-8863-bb2e8919c2f6.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764486432&Signature=gsIpWeN5gqzSuVC8sZgBcooyB10%3D,0.200984,48459
698320337,LFC.Eam-2023-04-25_12-40.WAV,2023 Laguna Fry Confluence - 45 Sump,2023,4,25,13,40,sp11,Simple Call,8.61333,9.36,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/25/dtu1murbispj/98b8e255-ecc3-4948-a05f-a2861abed9a2.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764486432&Signature=xuARSmRNk835jJxwZjBSD17rC18%3D,0.21073,48459
698320338,LFC.Eam-2023-04-25_16-20.WAV,2023 Laguna Fry Confluence - 45 Sump,2023,4,25,17,20,sp11,Simple Call,26.2027,26.9493,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/26/dtu1murbispj/5efe52c6-a2cc-42e2-9ef8-e9139008ea25.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764486432&Signature=cCACeWFxQRWTwnUCPVyi4L2B2Os%3D,0.223683,48459
698320339,LFC.Eam-2023-03-07_17-40.WAV,2023 Laguna Fry Confluence - 45 Sump,2023,3,7,17,40,sp11,Simple Call,16.1547,16.9013,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/03/08/dtu1murbispj/811a3b83-19f5-4e69-829f-a3e686c5b3dd.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764486432&Signature=eo%2FhVsFdxl4t%2FKaSj4zRRex%2Fu0g%3D,0.242834,48459
698320340,LFC.Eam-2023-04-25_15-40.WAV,2023 Laguna Fry Confluence - 45 Sump,2023,4,25,16,40,sp11,Simple Call,42.7093,43.456,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/25/dtu1murbispj/052da624-1e2f-4210-8d2a-9e603cb118eb.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764486432&Signature=DbvzvPq%2FvfKilm2vNdG4%2FUA5Kxs%3D,0.205168,48459
698320341,LFC.Eam-2023-04-25_11-43.WAV,2023 Laguna Fry Confluence - 45 Sump,2023,4,25,12,43,sp11,Simple Call,36.7627,37.5093,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/25/dtu1murbispj/cfd78023-b7d9-4eeb-847b-b19e15cd347d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764486432&Signature=nWbE7gvm8TLwkceKqP0ELKRk0GE%3D,0.220147,48459
698320342,LFC.Eam-2023-05-27_09-00.WAV,2023 Laguna Fry Confluence - 45 Sump,2023,5,27,10,0,sp11,Simple Call,21.648,22.3947,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/27/dtu1murbispj/3e36b987-1dc0-4615-a1d4-5d7a549970ae.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764486432&Signature=v%2BqVQOTGeYuk%2FfsIGzTsei%2FiAGg%3D,0.219282,48459
698320343,LFC.Eam-2023-05-25_10-00.WAV,2023 Laguna Fry Confluence - 45 Sump,2023,5,25,11,0,sp11,Simple Call,8.98133,9.728,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/25/dtu1murbispj/9231a42c-ce4f-4457-b98f-93e4f4d27ba8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764486432&Signature=hmSlsHv4G4GgNc28VUBUhQiwGio%3D,0.215448,48459
698320344,LFC.Eam-2023-05-05_21-00.WAV,2023 Laguna Fry Confluence - 45 Sump,2023,5,5,22,0,sp11,Simple Call,4.832,5.57867,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/06/dtu1murbispj/9d844c9b-de9a-4dcd-b11d-eeb987d22bf8.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764486432&Signature=aFZjsOIN80q5NX4IFexi5uYyxmU%3D,0.271757,48459
698320345,LFC.Eam-2023-04-26_11-00.WAV,2023 Laguna Fry Confluence - 45 Sump,2023,4,26,12,0,sp11,Simple Call,27.4453,28.192,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/04/26/dtu1murbispj/be10325a-eb9e-4eee-bd84-6971363edf48.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764486432&Signature=LkKFNuh68%2FXoOWN%2FaTdXUqFYZK0%3D,0.203056,48459
