id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
345755555,OR1am-2022-06-08_12-10.WAV,2022 OR1,2022,6,8,12,10,Agelaius tricolor,Common Song,40.6933,43.12,562,3938,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/08/l3jyatvwscsa/6532ee5f-2cdf-410b-99d9-8bd8f3d11b66.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277781&Signature=0pZJZmYL1MQQm4AABroG0%2FzTqp4%3D,0.236196,33851
345755556,OR1am-2022-06-08_10-00.WAV,2022 OR1,2022,6,8,10,0,Agelaius tricolor,Common Song,43.5733,46,562,3938,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/08/l3jyatvwscsa/b1a815da-9c96-462b-8b1a-f3e0c340cb75.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277781&Signature=39sB8thceUuVbKYbEfkOuecQEw0%3D,0.246061,33851
345755557,OR1am-2022-06-08_12-40.WAV,2022 OR1,2022,6,8,12,40,Agelaius tricolor,Common Song,44.3627,46.7893,562,3938,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/08/l3jyatvwscsa/955400fa-3d4c-412c-be1d-440f6c3ae65f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277781&Signature=pALaCijsJQvYdZihtrf9pnirdgA%3D,0.303545,33851
345755558,OR1am-2022-06-08_17-10.WAV,2022 OR1,2022,6,8,17,10,Agelaius tricolor,Common Song,34.2347,36.6613,562,3938,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/09/l3jyatvwscsa/1ec824b9-a552-4df2-a002-043f87b7c51c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277781&Signature=bo7K7tzic%2BuUqpsH%2BZkljO4751o%3D,0.220956,33851
345755559,OR1am-2022-06-08_15-30.WAV,2022 OR1,2022,6,8,15,30,Agelaius tricolor,Common Song,51.328,53.7547,562,3938,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/08/l3jyatvwscsa/ce89b5c2-f9bb-440e-957c-51723a963046.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277781&Signature=XYHMiuXguIpCH%2BVqngRr%2B0yu7%2FA%3D,0.238599,33851
345755560,OR1am-2022-06-08_13-20.WAV,2022 OR1,2022,6,8,13,20,Agelaius tricolor,Common Song,27.44,29.8667,562,3938,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/08/l3jyatvwscsa/cfc0b2cb-7c87-48c3-86e8-9710d65efb92.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277781&Signature=J4j8PJbLukX7WIbFl5Pxg3bhdkE%3D,0.325082,33851
345755561,OR1am-2022-06-08_16-20.WAV,2022 OR1,2022,6,8,16,20,Agelaius tricolor,Common Song,46.8213,49.248,562,3938,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/08/l3jyatvwscsa/d379a2d8-673e-4361-bf47-1c5d04ecbe4a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277781&Signature=TfW08Tyvpb0pgJLpyc%2BrdE%2FJAIw%3D,0.227219,33851
345755562,OR1am-2022-06-08_15-20.WAV,2022 OR1,2022,6,8,15,20,Agelaius tricolor,Common Song,36.2667,38.6933,562,3938,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/08/l3jyatvwscsa/9803b8cf-bc48-4cd7-9da2-e5d4b9ccebbc.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277781&Signature=CGEXV4%2BSxWpsZ6iiVh1ntQa1Cnw%3D,0.310519,33851
345755563,OR1am-2022-06-08_17-40.WAV,2022 OR1,2022,6,8,17,40,Agelaius tricolor,Common Song,46.464,48.8907,562,3938,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/09/l3jyatvwscsa/1f2b2039-c1d0-4460-bd4f-ffe60d87829b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277781&Signature=mrl5sB65JX%2FdYIj9J1Qu1iExXwg%3D,0.23912,33851
345755564,OR1am-2022-06-08_16-40.WAV,2022 OR1,2022,6,8,16,40,Agelaius tricolor,Common Song,3.056,5.48267,562,3938,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/06/08/l3jyatvwscsa/49950424-b330-469d-86b2-acc2784ec78c.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1733277781&Signature=2zoLW3K6S1dG8RvQjR7rHAaFMos%3D,0.253914,33851
