id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
861934036,OR2am-2022-05-24_08-00.WAV,2022 OR2,2022,5,24,8,0,Agelaius tricolor,Courtship Song,28.272,29.2107,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/24/k8goq8dt5now/dc6f2030-1146-4a6d-bee6-02fc57aa5131.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741868986&Signature=m1kr6frLD7Uqj3rVjEtiG41RPmo%3D,0.270348,34073
861934037,OR2am-2022-05-24_13-20.WAV,2022 OR2,2022,5,24,13,20,Agelaius tricolor,Courtship Song,57.4773,58.416,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/24/k8goq8dt5now/f8cc0c21-cfe2-4b31-95c6-a7cb8524d2b4.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741868986&Signature=VRZgTwuJA%2F%2F2hi39p%2Ft8Tvtrh30%3D,0.217779,34073
861934038,OR2am-2022-05-24_07-50.WAV,2022 OR2,2022,5,24,7,50,Agelaius tricolor,Courtship Song,57.9307,58.8693,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/24/k8goq8dt5now/2545e29b-6aed-4aaa-b77d-233cea85d102.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741868986&Signature=Rf2dxizh2yw%2BC6D6NzcniPNyzv0%3D,0.364131,34073
861934039,OR2am-2022-05-24_08-30.WAV,2022 OR2,2022,5,24,8,30,Agelaius tricolor,Courtship Song,0.336,1.27467,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/24/k8goq8dt5now/62342677-57d4-404a-8f3e-2091ac86b101.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741868986&Signature=2IT4WxWOqMvBp8ejX6ztNQlGDd0%3D,0.206895,34073
861934040,OR2am-2022-05-24_16-40.WAV,2022 OR2,2022,5,24,16,40,Agelaius tricolor,Courtship Song,23.4133,24.352,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/24/k8goq8dt5now/385f8c55-8697-4a4d-bd9c-a55d5d29d712.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741868986&Signature=Kd0GOpjQoq8vKjJtYoeNMr3TSHc%3D,0.242465,34073
861934041,OR2am-2022-05-24_09-10.WAV,2022 OR2,2022,5,24,9,10,Agelaius tricolor,Courtship Song,10.2187,11.1573,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/24/k8goq8dt5now/6e971585-5d23-4c61-8e46-da3961c8c5ce.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741868986&Signature=ZoQ4xbGjE6GhZhHG7EfJyYJLK6E%3D,0.256045,34073
861934042,OR2am-2022-05-24_07-10.WAV,2022 OR2,2022,5,24,7,10,Agelaius tricolor,Courtship Song,32.6667,33.6053,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/24/k8goq8dt5now/e4c860af-51aa-436d-ac85-d1c1373de663.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741868986&Signature=3tLKzWTZuGLZbFpc8u3Rq2Z%2FKMM%3D,0.251008,34073
861934043,OR2am-2022-05-24_03-20.WAV,2022 OR2,2022,5,24,3,20,Agelaius tricolor,Courtship Song,33.2587,34.1973,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/24/k8goq8dt5now/5108dce0-bf59-4f3a-87c7-5a93c518d85a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741868986&Signature=DbHw9xPH3e3GfpErhIRDCr4hSMo%3D,0.210816,34073
861934044,OR2am-2022-05-24_18-20.WAV,2022 OR2,2022,5,24,18,20,Agelaius tricolor,Courtship Song,57.28,58.2187,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/25/k8goq8dt5now/aad9009b-b41f-404c-b481-e56afde3da6d.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741868986&Signature=yMYg4BarFS%2BFss5pOzAC%2BpFqaXc%3D,0.34072,34073
861934045,OR2am-2022-05-24_11-00.WAV,2022 OR2,2022,5,24,11,0,Agelaius tricolor,Courtship Song,56.64,57.5787,94,8719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2022/05/24/k8goq8dt5now/86d10106-749b-4497-8b36-ca65d0285479.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741868986&Signature=xeHNuDlZlxsMEHsSAQwr8F6YEII%3D,0.204385,34073
