id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
721848902,DPam-2021-07-11_08-40.WAV-a2nyv82rjxv7.flac,2021 Dagnino Pond,2021,7,11,8,40,sp11,Simple Call,4.27733,5.024,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/07/11/a2nyv82rjxv7/3dd41fcd-0fd9-45e8-9bc9-19e5d388783f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866661&Signature=IvRi4PxP9qwxQmvnkZyI0qYkBTg%3D,0.287003,24122
721851264,DPam-2021-06-24_12-00.WAV-a2nyv82rjxv7.flac,2021 Dagnino Pond,2021,6,24,12,0,sp11,Simple Call,43.968,44.7147,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/24/a2nyv82rjxv7/0bb5196c-c16f-4d8f-b8cc-e296f0469987.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866661&Signature=Nw1n%2Fx0QJoC0GCCIS3tI%2B9o1JO0%3D,0.219477,24122
721851265,DPam-2021-06-24_14-00.WAV-a2nyv82rjxv7.flac,2021 Dagnino Pond,2021,6,24,14,0,sp11,Simple Call,20.4107,21.1573,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/24/a2nyv82rjxv7/8040ace7-d8bd-4dac-8d61-3b67e5e2c740.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866661&Signature=8geZB%2FuEJLwPcWoeKRdaNTurfXA%3D,0.251846,24122
721851266,DPam-2021-06-25_07-40.WAV-a2nyv82rjxv7.flac,2021 Dagnino Pond,2021,6,25,7,40,sp11,Simple Call,6.02667,6.77333,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/25/a2nyv82rjxv7/c2eab5c6-c535-4001-bf93-5c0d0b143686.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866661&Signature=SPCBtnBD3kh3apetL5tBz%2F488Vw%3D,0.221156,24122
721851267,DPam-2021-06-25_08-20.WAV-a2nyv82rjxv7.flac,2021 Dagnino Pond,2021,6,25,8,20,sp11,Simple Call,19.0347,19.7813,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/25/a2nyv82rjxv7/42ab4693-39b7-44d7-95d4-e46b447c569f.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866661&Signature=f1LyxTGhHRMpWoOEhS1vXsu2X0s%3D,0.209827,24122
721851268,DPam-2021-06-25_08-40.WAV-a2nyv82rjxv7.flac,2021 Dagnino Pond,2021,6,25,8,40,sp11,Simple Call,36.8907,37.6373,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/25/a2nyv82rjxv7/24180197-1eef-47c1-9054-c10bc6dbf09a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866661&Signature=TLt6bUG64%2BNmRQjec519FPkJXnI%3D,0.231955,24122
721851269,DPam-2021-06-26_08-20.WAV-a2nyv82rjxv7.flac,2021 Dagnino Pond,2021,6,26,8,20,sp11,Simple Call,13.7067,14.4533,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/26/a2nyv82rjxv7/e4f30035-bb3a-48d5-91bb-29f53ae9e4ba.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866661&Signature=CYJpmw2ARyS3YsW1MkTEBIJ81Yw%3D,0.241099,24122
721851270,DPam-2021-06-26_11-00.WAV-a2nyv82rjxv7.flac,2021 Dagnino Pond,2021,6,26,11,0,sp11,Simple Call,48.896,49.6427,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/26/a2nyv82rjxv7/fb4f39db-f2f1-414f-bea9-5501378131c1.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866661&Signature=gHB%2BLJLGOk%2BpALeyv3jAns6%2FVk8%3D,0.203804,24122
721851271,DPam-2021-06-26_10-40.WAV-a2nyv82rjxv7.flac,2021 Dagnino Pond,2021,6,26,10,40,sp11,Simple Call,38.1707,38.9173,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/26/a2nyv82rjxv7/715ea75a-7962-48bd-b632-bd91f29c8182.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866661&Signature=ObJkh6%2FYJO9eIfLBCEr3y3yxPdw%3D,0.24297,24122
721851272,DPam-2021-06-27_06-20.WAV-a2nyv82rjxv7.flac,2021 Dagnino Pond,2021,6,27,6,20,sp11,Simple Call,6.88533,7.632,2250,13688,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2021/06/27/a2nyv82rjxv7/f0b32158-8ee8-4ea5-9ad7-b81a89dd164a.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1741866661&Signature=KIKJ42KHIURUn1tdj7x7ljbMQ1U%3D,0.221557,24122
