id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
634112097,CER4am-2023-05-26_14-40.WAV,2023 Kern - Canebreak Ecological Reserve 4,2023,5,26,14,40,Agelaius tricolor,Simple Call 2,44.4587,44.8533,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/26/r7oezq7tv0xt/62d3c502-ef19-4bf7-957b-266dc1c28559.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764502900&Signature=Wk4YVAmMCuniAZBwY0pSMsFgf50%3D,0.517924,48467
634112098,CER4am-2023-05-26_18-00.WAV,2023 Kern - Canebreak Ecological Reserve 4,2023,5,26,18,0,Agelaius tricolor,Simple Call 2,55.8293,56.224,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/27/r7oezq7tv0xt/0df3915b-d6ba-428d-a5cb-65a157225f5e.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764502900&Signature=LTr1EZqc1Nx8%2BNxfojOcjwCG4Rw%3D,0.553612,48467
634112099,CER4am-2023-05-26_17-00.WAV,2023 Kern - Canebreak Ecological Reserve 4,2023,5,26,17,0,Agelaius tricolor,Simple Call 2,53.024,53.4187,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/27/r7oezq7tv0xt/28cfb009-e72c-4a15-9d68-7640f23aa4d5.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764502900&Signature=TkF3ZSHmHGzwEF%2F%2BTHLf0pslZVM%3D,0.455755,48467
634112100,CER4am-2023-05-26_17-40.WAV,2023 Kern - Canebreak Ecological Reserve 4,2023,5,26,17,40,Agelaius tricolor,Simple Call 2,48.416,48.8107,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/27/r7oezq7tv0xt/6d1c47f2-1584-4141-8796-cb635fc88b08.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764502900&Signature=cmJxYaso3udCKHtnUTAzBivekNs%3D,0.508512,48467
634112101,CER4am-2023-05-25_16-27.WAV,2023 Kern - Canebreak Ecological Reserve 4,2023,5,25,16,27,Agelaius tricolor,Simple Call 2,1.28533,1.68,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/25/r7oezq7tv0xt/bc64ba1f-8f2d-4819-aada-0eb0f6d4b883.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764502900&Signature=OP6GPF8Yigbj%2F0k%2BDQ0MqzGN%2B0Q%3D,0.51991,48467
634112102,CER4am-2023-03-09_14-00.WAV,2023 Kern - Canebreak Ecological Reserve 4,2023,3,9,13,0,Agelaius tricolor,Simple Call 2,8.82667,9.22133,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/03/09/r7oezq7tv0xt/6fcf92bf-bf0c-4603-a500-86a2e6a04670.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764502900&Signature=OrlbcsUEWfhQjfnkWWEJvaLqksQ%3D,0.528973,48467
634112103,CER4am-2023-05-25_17-20.WAV,2023 Kern - Canebreak Ecological Reserve 4,2023,5,25,17,20,Agelaius tricolor,Simple Call 2,57.728,58.1227,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/26/r7oezq7tv0xt/c7ba0de1-7457-4c3d-b554-dd71ac664d16.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764502900&Signature=fB0czSvGm7iracK8J7cK66jZ%2FJc%3D,0.587075,48467
634112104,CER4am-2023-05-25_17-40.WAV,2023 Kern - Canebreak Ecological Reserve 4,2023,5,25,17,40,Agelaius tricolor,Simple Call 2,8.42133,8.816,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/05/26/r7oezq7tv0xt/9761ef90-f195-41e1-a073-4a803e08c1af.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764502900&Signature=iugzz6AVerObD%2FMEng29jynuMEs%3D,0.46426,48467
634112105,CER4am-2023-06-11_12-40.WAV,2023 Kern - Canebreak Ecological Reserve 4,2023,6,11,12,40,Agelaius tricolor,Simple Call 2,40.6613,41.056,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/11/r7oezq7tv0xt/92a67f3e-9337-4f97-9d99-876f3671f542.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764502900&Signature=wYipxbbxfe1wivCoDUSWRDfpB0k%3D,0.466617,48467
634112106,CER4am-2023-06-02_09-40.WAV,2023 Kern - Canebreak Ecological Reserve 4,2023,6,2,9,40,Agelaius tricolor,Simple Call 2,48.8,49.1947,375,21656,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/02/r7oezq7tv0xt/af224ec0-0294-47ff-8519-9413bc304219.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1764502900&Signature=%2BI%2Fv4SgaqsUNx6ZvU%2FPYYpDhaiw%3D,0.445818,48467
