id,recording,site,year,month,day,hour,minute,species,songtype,x1,x2,y1,y2,frequency,validated,url,score,site_id
986567126,CNWRT27.1am-2023-06-02_12-40.WAV,2023 Colusa NWR T27.1,2023,6,2,13,40,sp31,Simple Call,37.808,38.6933,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/02/ejslpm0dd31h/f91e414b-7ac3-4719-9042-c32b28473bbe.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765170561&Signature=HQVGLiwY%2B%2Bl%2FKN%2Fw%2BSeHfvg68Mw%3D,0.20161,48455
986567127,CNWRT27.1am-2023-06-04_11-00.WAV,2023 Colusa NWR T27.1,2023,6,4,12,0,sp31,Simple Call,48.9227,49.808,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/04/ejslpm0dd31h/d2de1db5-86a0-4083-97b7-24f0fd4c7f83.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765170561&Signature=e2JHbc1HfY8Vnk0jQPJxBOb77A0%3D,0.263717,48455
986567128,CNWRT27.1am-2023-06-02_12-00.WAV,2023 Colusa NWR T27.1,2023,6,2,13,0,sp31,Simple Call,43.3813,44.2667,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/02/ejslpm0dd31h/8e8d745c-32bf-4522-a79d-e18c517d3d87.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765170561&Signature=vzPzbbIyisvHiYhdkBDDblStrTE%3D,0.24568,48455
986567129,CNWRT27.1am-2023-06-02_05-00.WAV,2023 Colusa NWR T27.1,2023,6,2,6,0,sp31,Simple Call,53.5893,54.4747,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/02/ejslpm0dd31h/e620e418-ed7b-4ed5-8f76-d6e1a75e2893.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765170561&Signature=EILDpj6ZyVUVV2W37t0aOMCIjc0%3D,0.211631,48455
986567130,CNWRT27.1am-2023-06-01_18-00.WAV,2023 Colusa NWR T27.1,2023,6,1,19,0,sp31,Simple Call,52.0693,52.9547,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/02/ejslpm0dd31h/8451c005-37c6-43b0-896a-51b29855a7ff.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765170561&Signature=DZtGleAjIto5UwNNzPkMaFco01Q%3D,0.225818,48455
986567131,CNWRT27.1am-2023-06-04_16-40.WAV,2023 Colusa NWR T27.1,2023,6,4,17,40,sp31,Simple Call,45.8667,46.752,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/05/ejslpm0dd31h/801375e3-b891-4085-927f-6c038016f828.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765170561&Signature=%2BW47dp8CY6eiu6YFIbhhCd%2FyoGM%3D,0.206444,48455
986567132,CNWRT27.1am-2023-06-01_14-20.WAV,2023 Colusa NWR T27.1,2023,6,1,15,20,sp31,Simple Call,37.824,38.7093,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/01/ejslpm0dd31h/f03f0b23-d464-46f5-aa14-e477bfe29027.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765170561&Signature=jzHKM%2BuY3JMMKQ78KurcbZYoDBY%3D,0.221238,48455
986567133,CNWRT27.1am-2023-06-02_06-00.WAV,2023 Colusa NWR T27.1,2023,6,2,7,0,sp31,Simple Call,13.2053,14.0907,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/02/ejslpm0dd31h/74f215e9-4658-4e5a-9c7e-19378dc62131.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765170561&Signature=xORH%2BTFXA2XLxrvJkOkA6WPmjJ8%3D,0.214013,48455
986567134,CNWRT27.1am-2023-06-03_20-00.WAV,2023 Colusa NWR T27.1,2023,6,3,21,0,sp31,Simple Call,41.5467,42.432,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/04/ejslpm0dd31h/15d4ba7b-9143-4155-9d9c-a3c99559932b.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765170561&Signature=ZEeetqbkx9FHoMqKkVxxoOsK8jk%3D,0.205325,48455
986567135,CNWRT27.1am-2023-06-03_18-20.WAV,2023 Colusa NWR T27.1,2023,6,3,19,20,sp31,Simple Call,4.25067,5.136,3281,5719,24000,(not validated),https://rfcx-streams-production.s3.eu-west-1.amazonaws.com/2023/06/04/ejslpm0dd31h/31579618-ec7b-4946-b8e2-fa870d07e2a0.flac?AWSAccessKeyId=AKIA45B7YWBX7MUJ7QCX&Expires=1765170561&Signature=Egv6PypbfztT4zQvcoq2WoGUZtE%3D,0.30607,48455
